almanac_dt	avg_lo	avg_hi	mean_temp	avg_precip	avg_snow
0701	63.0	80.8	71.9	5.2	0.0
0702	63.2	81.0	72.1	5.2	0.0
0703	63.4	81.2	72.3	5.2	0.0
0704	63.6	81.3	72.4	5.2	0.0
0705	63.8	81.4	72.6	5.1	0.0
0706	63.9	81.6	72.7	5.1	0.0
0707	64.1	81.7	72.9	5.1	0.0
0708	64.2	81.8	73.0	5.1	0.0
0709	64.3	81.9	73.1	5.1	0.0
0710	64.5	82.0	73.2	5.1	0.0
0711	64.6	82.0	73.3	5.0	0.0
0712	64.7	82.1	73.4	5.0	0.0
0713	64.8	82.1	73.5	5.0	0.0
0714	64.8	82.2	73.5	5.0	0.0
0715	64.9	82.2	73.6	5.0	0.0
0716	65.0	82.2	73.6	5.0	0.0
0717	65.1	82.3	73.7	4.9	0.0
0718	65.1	82.3	73.7	4.9	0.0
0719	65.2	82.3	73.7	4.9	0.0
0720	65.2	82.2	73.7	4.9	0.0
0721	65.2	82.2	73.7	4.9	0.0
0722	65.3	82.2	73.7	4.9	0.0
0723	65.3	82.2	73.7	4.8	0.0
0724	65.3	82.1	73.7	4.8	0.0
0725	65.3	82.1	73.7	4.8	0.0
0726	65.3	82.1	73.7	4.8	0.0
0727	65.4	82.0	73.7	4.8	0.0
0728	65.4	82.0	73.7	4.8	0.0
0729	65.4	81.9	73.6	4.7	0.0
0730	65.4	81.8	73.6	4.7	0.0
0731	65.3	81.8	73.6	4.7	
0801	65.3	81.7	73.5	4.7	0.0
0802	65.3	81.6	73.5	4.7	0.0
0803	65.3	81.6	73.4	4.6	0.0
0804	65.3	81.5	73.4	4.6	0.0
0805	65.2	81.4	73.3	4.6	0.0
0806	65.2	81.4	73.3	4.5	0.0
0807	65.2	81.3	73.2	4.5	0.0
0808	65.1	81.2	73.2	4.5	0.0
0809	65.1	81.1	73.1	4.4	0.0
0810	65.0	81.0	73.0	4.4	0.0
0811	65.0	80.9	73.0	4.3	0.0
0812	64.9	80.9	72.9	4.3	0.0
0813	64.8	80.8	72.8	4.3	0.0
0814	64.7	80.7	72.7	4.2	0.0
0815	64.6	80.6	72.6	4.2	0.0
0816	64.5	80.5	72.5	4.2	0.0
0817	64.4	80.4	72.4	4.1	0.0
0818	64.3	80.3	72.3	4.1	0.0
0819	64.2	80.1	72.2	4.1	0.0
0820	64.1	80.0	72.0	4.0	0.0
0821	63.9	79.9	71.9	4.0	0.0
0822	63.8	79.8	71.8	4.0	0.0
0823	63.6	79.6	71.6	3.9	0.0
0824	63.4	79.5	71.4	3.9	0.0
0825	63.2	79.3	71.3	3.9	0.0
0826	63.0	79.2	71.1	3.8	0.0
0827	62.8	79.0	70.9	3.8	0.0
0828	62.6	78.8	70.7	3.7	0.0
0829	62.3	78.6	70.5	3.7	0.0
0830	62.1	78.4	70.3	3.7	0.0
0831	61.8	78.2	70.0	3.6	
0901	61.6	78.0	69.8	3.6	0.0
0902	61.3	77.8	69.5	3.6	0.0
0903	61.0	77.6	69.3	3.6	0.0
0904	60.7	77.3	69.0	3.6	0.0
0905	60.4	77.1	68.7	3.5	0.0
0906	60.0	76.8	68.4	3.5	0.0
0907	59.7	76.5	68.1	3.5	0.0
0908	59.4	76.2	67.8	3.5	0.0
0909	59.0	75.9	67.5	3.4	0.0
0910	58.7	75.6	67.1	3.4	0.0
0911	58.3	75.3	66.8	3.4	0.0
0912	57.9	75.0	66.4	3.3	0.0
0913	57.5	74.7	66.1	3.3	0.0
0914	57.1	74.3	65.7	3.3	0.0
0915	56.8	74.0	65.4	3.3	0.0
0916	56.4	73.6	65.0	3.2	0.0
0917	56.0	73.2	64.6	3.2	0.0
0918	55.6	72.9	64.2	3.2	0.0
0919	55.1	72.5	63.8	3.2	0.0
0920	54.7	72.1	63.4	3.1	0.0
0921	54.3	71.7	63.0	3.1	0.0
0922	53.9	71.3	62.6	3.1	0.0
0923	53.5	70.9	62.2	3.0	0.0
0924	53.1	70.5	61.8	3.0	0.0
0925	52.7	70.1	61.4	3.0	0.0
0926	52.3	69.7	61.0	3.0	0.0
0927	51.9	69.3	60.6	2.9	0.0
0928	51.5	68.8	60.2	2.9	0.0
0929	51.1	68.4	59.7	2.9	0.0
0930	50.7	68.0	59.3	2.9	
1001	50.3	67.6	58.9	2.9	
1002	49.9	67.2	58.5	2.9	0.0
1003	49.5	66.7	58.1	3.0	0.0
1004	49.1	66.3	57.7	3.0	0.0
1005	48.7	65.9	57.3	3.1	0.0
1006	48.3	65.5	56.9	3.1	0.0
1007	48.0	65.1	56.5	3.2	0.0
1008	47.6	64.6	56.1	3.2	0.0
1009	47.2	64.2	55.7	3.3	0.0
1010	46.8	63.8	55.3	3.3	0.0
1011	46.5	63.4	54.9	3.4	0.0
1012	46.1	63.0	54.5	3.4	0.0
1013	45.8	62.6	54.2	3.5	0.0
1014	45.4	62.1	53.8	3.5	0.0
1015	45.0	61.7	53.4	3.6	0.0
1016	44.7	61.3	53.0	3.6	0.0
1017	44.3	60.9	52.6	3.7	0.0
1018	44.0	60.5	52.2	3.7	0.0
1019	43.6	60.1	51.8	3.8	0.0
1020	43.2	59.6	51.4	3.8	0.0
1021	42.9	59.2	51.1	3.9	0.0
1022	42.5	58.8	50.7	3.9	0.0
1023	42.2	58.4	50.3	4.0	0.0
1024	41.8	58.0	49.9	4.0	0.0
1025	41.4	57.5	49.5	4.1	0.0
1026	41.1	57.1	49.1	4.1	0.0
1027	40.7	56.7	48.7	4.2	0.0
1028	40.3	56.3	48.3	4.2	0.0
1029	40.0	55.8	47.9	4.3	0.0
1030	39.6	55.4	47.5	4.3	0.0
1031	39.2	54.9	47.1	4.4	
1101	38.8	54.5	46.7	4.4	
1102	38.4	54.1	46.2	4.4	0.0
1103	38.0	53.6	45.8	4.5	0.0
1104	37.7	53.2	45.4	4.5	0.0
1105	37.3	52.7	45.0	4.5	0.0
1106	36.9	52.2	44.5	4.6	0.0
1107	36.5	51.8	44.1	4.6	0.0
1108	36.1	51.3	43.7	4.7	0.1
1109	35.7	50.8	43.3	4.7	0.1
1110	35.3	50.4	42.8	4.7	0.1
1111	34.9	49.9	42.4	4.8	0.1
1112	34.5	49.4	41.9	4.8	0.1
1113	34.1	49.0	41.5	4.8	0.1
1114	33.6	48.5	41.1	4.9	0.1
1115	33.2	48.0	40.6	4.9	0.1
1116	32.8	47.5	40.2	5.0	0.1
1117	32.4	47.1	39.8	5.0	0.1
1118	32.0	46.6	39.3	5.0	0.1
1119	31.7	46.1	38.9	5.1	0.1
1120	31.3	45.7	38.5	5.1	0.1
1121	30.9	45.2	38.0	5.1	0.1
1122	30.5	44.7	37.6	5.2	0.2
1123	30.1	44.3	37.2	5.2	0.2
1124	29.7	43.8	36.8	5.2	0.2
1125	29.4	43.4	36.4	5.3	0.2
1126	29.0	42.9	36.0	5.3	0.2
1127	28.6	42.5	35.6	5.4	0.2
1128	28.3	42.1	35.2	5.4	0.2
1129	27.9	41.6	34.8	5.4	0.2
1130	27.6	41.2	34.4	5.5	
1201	27.2	40.8	34.0	5.5	
1202	26.9	40.4	33.7	5.5	0.2
1203	26.6	40.0	33.3	5.5	0.2
1204	26.3	39.6	33.0	5.5	0.2
1205	25.9	39.3	32.6	5.5	0.3
1206	25.6	38.9	32.3	5.5	0.3
1207	25.3	38.6	31.9	5.5	0.3
1208	25.0	38.2	31.6	5.5	0.3
1209	24.7	37.9	31.3	5.5	0.3
1210	24.5	37.5	31.0	5.5	0.3
1211	24.2	37.2	30.7	5.6	0.3
1212	23.9	36.9	30.4	5.6	0.3
1213	23.6	36.6	30.1	5.6	0.3
1214	23.4	36.3	29.8	5.6	0.3
1215	23.1	36.0	29.6	5.6	0.3
1216	22.8	35.8	29.3	5.6	0.4
1217	22.6	35.5	29.0	5.6	0.4
1218	22.3	35.3	28.8	5.6	0.4
1219	22.1	35.0	28.5	5.6	0.4
1220	21.8	34.8	28.3	5.6	0.4
1221	21.6	34.5	28.1	5.6	0.4
1222	21.4	34.3	27.8	5.6	0.4
1223	21.1	34.1	27.6	5.7	0.4
1224	20.9	33.9	27.4	5.7	0.4
1225	20.7	33.7	27.2	5.7	0.5
1226	20.4	33.5	27.0	5.7	0.5
1227	20.2	33.3	26.7	5.7	0.5
1228	20.0	33.1	26.5	5.7	0.5
1229	19.8	32.9	26.3	5.7	0.5
1230	19.6	32.7	26.1	5.7	0.5
1231	19.4	32.5	26.0	5.7	
